86,2016,134ч.5,"Деяния, предусмотренные частями первой, второй, третьей или четвертой, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (c ред. ФЗ от 29.02.2012 № 14-ФЗ)",7,0,7,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,2.0,,0.0,1,0,0,4,0,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
87,2016,134ч.6,"Деяния, предусмотренные частью третьей, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c ред. ФЗ от 29.02.2012 № 14-ФЗ)",0,0,0,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
88,2016,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста (в стар. ред., до ФЗ от 29.02.2012 № 14-ФЗ)",149,0,19,15,0.0,55.0,,0,54,0.0,1,0,0,0.0,0.0,,6,12.0,,1.0,0,0,0,0,0,0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,1,0,0,18,0,,5,0.0,,,,,,7,5.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,94,156.0,0.0,0.0,0.0,0.0,14.0,25.0,7.0,7.0,,,,,,,
89,2016,135ч.2,"То же деяние, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста (в стар. ред., до ФЗ от 29.02.2012 № 14-ФЗ)",105,0,99,0,0.0,3.0,,1,1,0.0,0,0,0,0.0,0.0,,3,3.0,,42.0,47,4,0,0,0,6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2,0,0,0,0,,2,0.0,,,,,,13,5.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,72,175.0,2.0,5.0,2.0,3.0,0.0,0.0,13.0,13.0,,,,,,,
90,2016,135ч.3,"Деяние, предусмотренное частью первой настоящей статьи, совершенное в отношении лица, заведомо не достигшего двенадцатилетнего возраста (в стар. ред., до ФЗ от 29.02.2012 № 14-ФЗ)",55,0,50,3,0.0,1.0,,1,0,0.0,0,0,0,0.0,0.0,,3,3.0,,2.0,18,20,2,2,0,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,1,0.0,,,,,,13,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,31,65.0,1.0,1.0,2.0,8.0,1.0,2.0,13.0,13.0,,,,,,,
91,2016,135ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой (в стар. ред., до ФЗ от 29.02.2012 № 14-ФЗ)",0,0,0,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
92,2016,135ч.5,"Деяние, предусмотренное частью второй, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c ред. ФЗ от 29.02.2012 № 14-ФЗ)",4,0,4,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,2,2,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,1,0.0,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
94,2016,242.1ч.2,"Те же деяния, совершенные при отягчающих обстоятельствах (стар. ред., до ФЗ от 29.02.2012 № 14-ФЗ)",161,0,53,98,0.0,4.0,,4,0,0.0,1,0,0,0.0,0.0,,4,6.0,,28.0,13,1,1,0,0,12,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1,0,0,0,0,,1,0.0,,,,,,6,8.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,23,78.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,,,,,,,
95,2016,242.2ч.1,Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов,2,0,1,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
96,2016,242.2ч.2,"Те же деяния, совершенные в отношении двух или более лиц;  группой лиц по предварительному сговору или организованной группой; в отношении лица, не достигшего четырнадцатилетнего возраста; с использованием информационно-телекоммуникационных сетей (включая сеть ""Интернет"")",4,0,4,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,4,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,2.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
97,2017,134ч.1,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",2285,0,258,521,0.0,278.0,,1,824,1.0,4,0,3,0.0,0.0,,99,138.0,,18.0,3,0,0,0,0,0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,,0.0,75.0,320.0,0,0,0,689,23,70.0,16,8.0,,,,,,11,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,121,789.0,3.0,3.0,1.0,8.0,50.0,83.0,11.0,11.0,,,,,,,
98,2017,134ч.2,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет, совершенные с лицом, не достигшим четырнадцатилетнего возраста (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",12,0,8,3,0.0,0.0,,0,0,1.0,0,0,0,0.0,0.0,,0,4.0,,1.0,2,1,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6,42.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
99,2017,134ч.3,"Деяния, предусмотренные частью первой настоящей статьи, совершенные с лицом, заведомо не достигшим двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",280,0,243,16,0.0,8.0,,6,4,1.0,1,0,0,0.0,0.0,,15,29.0,,97.0,94,8,0,0,0,41,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,0,0,0,0,0.0,1,0.0,,,,,,7,5.0,0.0,1.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22,89.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,
100,2017,134ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",16,0,16,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,4,7,4,1,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
101,2017,134ч.5,"Деяния, предусмотренные частями первой, второй, третьей или четвертой, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",8,0,8,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,0,3,0,4,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
102,2017,134ч.6,"Деяния, предусмотренные частью третьей, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",1,0,1,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,0,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
103,2017,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",171,0,18,13,0.0,58.0,,0,76,0.0,1,0,0,0.0,0.0,,10,7.0,,1.0,0,0,0,0,0,0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0,1,0,15,0,9.0,2,0.0,,,,,,6,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,144,222.0,1.0,1.0,1.0,1.0,15.0,33.0,6.0,6.0,,,,,,,
104,2017,135ч.2,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",144,0,139,2,0.0,1.0,,0,0,0.0,0,0,0,0.0,0.0,,6,7.0,,54.0,64,8,0,0,0,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,0,0,0,0,0.0,1,0.0,,,,,,9,7.0,0.0,1.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,88,174.0,4.0,4.0,1.0,3.0,1.0,1.0,9.0,10.0,,,,,,,
105,2017,135ч.3,"Деяние, предусмотренное частью первой настоящей статьи, совершенное в отношении лица, заведомо не достигшего двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",79,0,75,3,0.0,0.0,,0,1,0.0,0,0,0,0.0,0.0,,0,3.0,,8.0,19,45,0,0,0,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,6,8.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,28,76.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,
106,2017,135ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",2,0,2,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,1,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,
107,2017,135ч.5,"Деяние, предусмотренное частью второй, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",6,0,6,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,1,5,0,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,1,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
109,2017,242.1ч.2,"Изготовление, хранение или перемещение через Государственную границу РФ материалов   или  предметов   с   порнографическими изображениями  заведомо  несовершеннолетних, совершенные при отягчающих обстоятельствах (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",194,0,83,80,0.0,8.0,,12,3,0.0,7,0,0,0.0,0.0,,14,25.0,,29.0,13,2,0,0,0,31,0.0,0.0,4.0,,3.0,0.0,0.0,0.0,,0.0,1.0,0.0,1,0,0,0,0,0.0,1,0.0,,,,,,11,10.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,37,134.0,2.0,2.0,1.0,1.0,0.0,0.0,11.0,12.0,,,,,,,
110,2017,242.2ч.1,Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов,3,0,2,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,1,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
111,2017,242.2ч.2,"Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов, совершенное в отношении двух или более лиц;  группой лиц по предварительному сговору или организованной группой; в отношении лица, не достигшего четырнадцатилетнего возраста; с использованием информационно-телекоммуникационных сетей (включая сеть Интернет)",10,0,9,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,1.0,,0.0,3,2,3,0,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26,102.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,
112,2018,134ч.1,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",2280,0,245,509,0.0,311.0,,0,839,2.0,12,0,1,0.0,0.0,,90,145.0,,10.0,0,0,0,0,0,0,2.0,9.0,1.0,,0.0,0.0,0.0,0.0,174000.0,0.0,80.0,281.0,1,2,0,703,41,220.0,5,12.0,42.0,145.0,32.0,1.0,3946000.0,13,10.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112,745.0,2.0,2.0,3.0,4.0,81.0,168.0,13.0,13.0,,,,,,,
113,2018,134ч.2,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет, совершенные с лицом, не достигшим четырнадцатилетнего возраста (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",14,0,10,4,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,2,4.0,,4.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
114,2018,134ч.3,"Деяния, предусмотренные частью первой настоящей статьи, совершенные с лицом, заведомо не достигшим двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",296,0,254,21,0.0,15.0,,3,2,0.0,0,0,0,0.0,0.0,,12,28.0,,101.0,103,10,0,0,0,35,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8.0,0.0,0.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,184.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,,,,,,,
115,2018,134ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",18,0,17,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,4,9,4,0,0,6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
116,2018,134ч.5,"Деяния, предусмотренные частями первой, второй, третьей или четвертой, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",6,0,5,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,1,0,1,2,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,
117,2018,134ч.6,"Деяния, предусмотренные частью третьей, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",6,0,6,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,1,0,2,2,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
118,2018,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",201,0,20,16,0.0,65.0,,0,80,5.0,2,0,1,0.0,0.0,,11,8.0,,1.0,0,0,0,0,0,0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,330000.0,0.0,1.0,11.0,0,0,0,37,1,4.0,5,0.0,0.0,5.0,0.0,0.0,74000.0,4,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,178,271.0,2.0,2.0,2.0,5.0,37.0,49.0,4.0,4.0,,,,,,,
119,2018,135ч.2,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",179,0,161,7,0.0,8.0,,1,1,0.0,0,0,0,0.0,0.0,,7,17.0,,71.0,62,4,0,0,0,24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,5,15.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,213.0,4.0,6.0,0.0,0.0,2.0,2.0,5.0,5.0,,,,,,,
120,2018,135ч.3,"Деяние, предусмотренное частью первой настоящей статьи, совершенное в отношении лица, заведомо не достигшего двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",76,0,72,4,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,1.0,,8.0,25,37,1,0,0,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17,7.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,67.0,0.0,0.0,1.0,2.0,1.0,1.0,17.0,17.0,,,,,,,
121,2018,135ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",4,0,4,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,0,3,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
