122,2018,135ч.5,"Деяние, предусмотренное частью второй, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",4,0,4,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,1,1,2,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
124,2018,242.1ч.2,"Изготовление, хранение или перемещение через Государственную границу РФ материалов   или  предметов   с   порнографическими изображениями  заведомо  несовершеннолетних, совершенные при отягчающих обстоятельствах (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",198,0,79,91,0.0,7.0,,9,4,0.0,7,0,0,0.0,0.0,,5,18.0,,35.0,20,1,0,0,0,20,0.0,0.0,5.0,,2.0,0.0,0.0,0.0,850000.0,0.0,1.0,0.0,3,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,172.0,2.0,3.0,1.0,1.0,0.0,0.0,7.0,7.0,,,,,,,
125,2018,242.2ч.1,Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов,3,0,2,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,2,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,39.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
126,2018,242.2ч.2,"Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов, совершенное в отношении двух или более лиц;  группой лиц по предварительному сговору или организованной группой; в отношении лица, не достигшего четырнадцатилетнего возраста; с использованием информационно-телекоммуникационных сетей (включая сеть Интернет)",9,0,9,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,3,3,2,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,134.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,
127,2019,134ч.1,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",2108,0,217,477,0.0,238.0,,3,844,4.0,10,0,1,0.0,0.0,,93,114.0,,8.0,2,0,0,0,0,0,1.0,8.0,1.0,,0.0,0.0,0.0,0.0,156000.0,,,,1,0,0,752,25,386.0,1,8.0,87.0,254.0,41.0,4.0,6195000.0,16,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112,773.0,2.0,3.0,0.0,0.0,97.0,207.0,,17.0,51.0,254.0,0.0,0.0,3.0,6.0,
128,2019,134ч.2,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет, совершенные с лицом, не достигшим четырнадцатилетнего возраста (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",21,0,12,8,0.0,1.0,,0,0,0.0,0,0,0,0.0,0.0,,3,4.0,,4.0,1,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
129,2019,134ч.3,"Деяния, предусмотренные частью первой настоящей статьи, совершенные с лицом, заведомо не достигшим двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",257,0,221,17,0.0,8.0,,6,3,0.0,1,0,0,0.0,0.0,,19,29.0,,80.0,87,6,0,0,0,47,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,100000.0,,,,0,0,0,1,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,9,7.0,0.0,1.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,134.0,2.0,2.0,0.0,0.0,1.0,1.0,,7.0,1.0,0.0,0.0,0.0,0.0,0.0,
130,2019,134ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",22,0,18,4,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,2.0,4,8,3,1,0,8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
131,2019,134ч.5,"Деяния, предусмотренные частями первой, второй, третьей или четвертой, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",3,0,3,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,2,1,0,0,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
132,2019,134ч.6,"Деяния, предусмотренные частью третьей, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",3,0,3,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,1,0,1,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
133,2019,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",231,0,26,19,0.0,59.0,,0,109,1.0,4,0,0,0.0,0.0,,8,15.0,,3.0,0,0,0,0,0,0,0.0,1.0,2.0,,0.0,1.0,0.0,0.0,450000.0,,,,0,0,0,30,1,40.0,4,0.0,4.0,20.0,15.0,1.0,1347000.0,14,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,395.0,2.0,2.0,3.0,4.0,41.0,49.0,,16.0,0.0,4.0,0.0,0.0,1.0,8.0,
134,2019,135ч.2,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",189,0,167,11,0.0,5.0,,4,0,0.0,2,0,0,0.0,0.0,,4,16.0,,61.0,81,5,0,0,0,23,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,250000.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17,11.0,0.0,2.0,21.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,271.0,4.0,4.0,1.0,3.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,
135,2019,135ч.3,"Деяние, предусмотренное частью первой настоящей статьи, совершенное в отношении лица, заведомо не достигшего двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",95,0,86,7,0.0,1.0,,0,0,0.0,1,0,0,0.0,0.0,,2,8.0,,10.0,27,39,0,0,0,27,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,450000.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,13.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,108.0,1.0,1.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
136,2019,135ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",7,0,7,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,6,0,1,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,24.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
137,2019,135ч.5,"Деяние, предусмотренное частью второй, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",6,0,6,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,1,0,2,2,0,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
139,2019,242.1ч.2,"Изготовление, хранение или перемещение через Государственную границу РФ материалов   или  предметов   с   порнографическими изображениями  заведомо  несовершеннолетних, совершенные при отягчающих обстоятельствах (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",171,0,78,75,0.0,7.0,,6,1,0.0,3,0,0,0.0,0.0,,4,13.0,,35.0,25,1,0,0,0,15,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,235000.0,,,,2,2,0,0,0,1.0,2,0.0,0.0,1.0,0.0,0.0,10000.0,6,2.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53,128.0,2.0,2.0,1.0,1.0,1.0,39.0,,8.0,1.0,0.0,0.0,0.0,0.0,0.0,
140,2019,242.2ч.1,Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов,8,0,5,3,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,3.0,2,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
141,2019,242.2ч.2,"Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов, совершенное в отношении двух или более лиц;  группой лиц по предварительному сговору или организованной группой; в отношении лица, не достигшего четырнадцатилетнего возраста; с использованием информационно-телекоммуникационных сетей (включая сеть Интернет)",12,0,12,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,1,0.0,,1.0,3,3,4,0,0,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,114.0,0.0,0.0,4.0,4.0,0.0,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,
142,2020,134ч.1,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",1930,0,193,408,0.0,207.0,,2,840,1.0,16,0,0,0.0,0.0,,64,113.0,,16.0,0,0,0,0,0,0,2.0,7.0,7.0,,0.0,0.0,0.0,0.0,,,,,1,0,0,783,15,399.0,3,8.0,87.0,269.0,43.0,0.0,,18,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,103,754.0,0.0,0.0,1.0,1.0,131.0,291.0,,,33.0,222.0,0.0,0.0,3.0,5.0,1.0
143,2020,134ч.2,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцати лет, совершенные с лицом, не достигшим четырнадцатилетнего возраста (в старой редакции, до ФЗ от 29.02.2012 № 14-ФЗ)",14,0,6,7,0.0,0.0,,0,0,1.0,0,0,0,0.0,0.0,,0,1.0,,3.0,2,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2020,134ч.3,"Деяния, предусмотренные частью первой настоящей статьи, совершенные с лицом, заведомо не достигшим двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",238,0,193,13,0.0,12.0,,12,3,0.0,1,0,0,1.0,0.0,,16,19.0,,77.0,76,5,0,0,0,33,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,6,3.0,0.0,1.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,20,113.0,1.0,2.0,1.0,2.0,0.0,0.0,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0
145,2020,134ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",12,0,10,2,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,3,3,3,1,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2020,134ч.5,"Деяния, предусмотренные частями первой, второй, третьей или четвертой, совершенные группой лиц, группой лиц по предварительному сговору или организованной группой (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",2,0,2,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,2,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2020,134ч.6,"Деяния, предусмотренные частью третьей, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",0,0,0,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2020,135ч.1,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, в отношении лица, заведомо не достигшего шестнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",216,0,29,15,0.0,56.0,,0,107,1.0,1,0,0,0.0,0.0,,7,21.0,,1.0,0,0,0,0,0,0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,40,3,27.0,10,0.0,1.0,18.0,8.0,0.0,,8,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,163,273.0,1.0,1.0,2.0,2.0,47.0,73.0,,,0.0,2.0,0.0,0.0,0.0,5.0,13.0
149,2020,135ч.2,"Совершение развратных действий без применения насилия лицом, достигшим восемнадцатилетнего возраста, совершенное в отношении лица, заведомо не достигшего четырнадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",165,0,152,4,0.0,3.0,,2,1,1.0,0,0,0,0.0,0.0,,3,13.0,,60.0,67,9,0,0,0,19,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,,17,11.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,104,207.0,1.0,1.0,1.0,1.0,2.0,4.0,,,1.0,0.0,0.0,0.0,0.0,1.0,7.0
150,2020,135ч.3,"Деяние, предусмотренное частью первой настоящей статьи, совершенное в отношении лица, заведомо не достигшего двенадцатилетнего возраста (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",85,0,78,7,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,1,4.0,,8.0,36,28,1,0,0,20,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,13,10.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,43,125.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0
151,2020,135ч.4,"Деяния, предусмотренные частями второй или третьей настоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",0,0,0,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2020,135ч.5,"Деяние, предусмотренное частью второй, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего (c редакции ФЗ от 29.02.2012 № 14-ФЗ)",12,0,12,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,2,2,2,5,0,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,1,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2020,242.1ч.2,"Изготовление, хранение или перемещение через Государственную границу РФ материалов   или  предметов   с   порнографическими изображениями  заведомо  несовершеннолетних, совершенные при отягчающих обстоятельствах (в старой редакции до ФЗ от 29.02.2012 № 14-ФЗ)",98,0,40,47,0.0,3.0,,4,2,0.0,1,0,0,0.0,0.0,,2,4.0,,17.0,17,0,0,0,0,6,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,3,1,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,,5,5.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,44,216.0,1.0,1.0,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,10.0
155,2020,242.2ч.1,Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов,3,0,1,2,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,1.0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,15,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,2020,242.2ч.2,"Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов, совершенное в отношении двух или более лиц;  группой лиц по предварительному сговору или организованной группой; в отношении лица, не достигшего четырнадцатилетнего возраста; с использованием информационно-телекоммуникационных сетей (включая сеть <<Интернет>>)",12,0,11,1,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,2.0,1,6,1,1,0,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,40,121.0,1.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
